import time: self [us] | cumulative | imported package
import time:      9743 |      32962 |               pkg_resources.extern.packaging.requirements
import time:       910 |        910 |               sysconfig
import time:       589 |        589 |               _osx_support
import time:       667 |        667 |               _sysconfigdata_m_darwin_darwin
import time:     35964 |     107253 |             pkg_resources
import time:      1199 |     108452 |           google.protobuf
import time:       271 |        271 |             google.protobuf.internal
import time:       405 |        405 |               google.protobuf.internal._api_implementation
import time:       123 |        123 |               google.protobuf.enable_deterministic_proto_serialization
import time:       616 |        616 |               google.protobuf.pyext
import time:       742 |        742 |                 google.protobuf.internal.containers
import time:       467 |        467 |                 google.protobuf.internal.enum_type_wrapper
import time:       429 |        429 |                 google.protobuf.message
import time:      4329 |       5966 |               google.protobuf.pyext._message
import time:       920 |       8028 |             google.protobuf.internal.api_implementation
import time:      1342 |       9640 |           google.protobuf.descriptor
import time:       275 |        275 |             google.protobuf.pyext.cpp_message
import time:       416 |        691 |           google.protobuf.reflection
import time:       364 |        364 |               google.protobuf.descriptor_database
import time:      1033 |       1033 |               google.protobuf.text_encoding
import time:       936 |       2332 |             google.protobuf.descriptor_pool
import time:       644 |        644 |             google.protobuf.message_factory
import time:       610 |       3586 |           google.protobuf.symbol_database
import time:       761 |        761 |                   google.protobuf.internal.well_known_types
import time:       603 |       1364 |                 tensorflow.core.framework.resource_handle_pb2
import time:       530 |        530 |                 tensorflow.core.framework.tensor_shape_pb2
import time:       760 |        760 |                 tensorflow.core.framework.types_pb2
import time:       885 |       3538 |               tensorflow.core.framework.tensor_pb2
import time:       947 |       4485 |             tensorflow.core.framework.attr_value_pb2
import time:      1078 |       5562 |           tensorflow.core.framework.node_def_pb2
import time:      1694 |       1694 |             tensorflow.core.framework.op_def_pb2
import time:      1288 |       2981 |           tensorflow.core.framework.function_pb2
import time:       504 |        504 |           tensorflow.core.framework.versions_pb2
import time:      1043 |     133112 |         tensorflow.core.framework.graph_pb2
import time:      1160 |       1160 |         tensorflow.core.framework.summary_pb2
import time:       517 |        517 |           tensorflow.core.protobuf
import time:       391 |        391 |           google.protobuf.any_pb2
import time:       509 |        509 |           tensorflow.core.protobuf.saver_pb2
import time:      1815 |       3230 |         tensorflow.core.protobuf.meta_graph_pb2
import time:       893 |        893 |           tensorflow.core.framework.cost_graph_pb2
import time:       604 |        604 |             tensorflow.core.framework.allocation_description_pb2
import time:       514 |        514 |             tensorflow.core.framework.tensor_description_pb2
import time:      1140 |       2258 |           tensorflow.core.framework.step_stats_pb2
import time:       676 |        676 |           tensorflow.core.protobuf.debug_pb2
import time:       528 |        528 |           tensorflow.core.protobuf.cluster_pb2
import time:      1016 |       1016 |           tensorflow.core.protobuf.rewriter_config_pb2
import time:      2197 |       7566 |         tensorflow.core.protobuf.config_pb2
import time:       582 |        582 |         tensorflow.core.protobuf.tensorflow_server_pb2
import time:       321 |        321 |           tensorflow.core.util
import time:      1154 |       1475 |         tensorflow.core.util.event_pb2
import time:       307 |        307 |           tensorflow.python.framework
import time:       579 |        579 |           tensorflow.python.framework.device
import time:        75 |         75 |             six.moves
import time:       541 |        541 |             tensorflow.python.eager
import time:       751 |        751 |                 tensorflow.core.framework.api_def_pb2
import time:       383 |        383 |                 tensorflow.python.util.compat
import time:       648 |       1781 |               tensorflow.python.framework.c_api_util
import time:      1476 |       3256 |             tensorflow.python.eager.context
import time:       217 |        217 |                     tensorflow.core.lib
import time:       417 |        633 |                   tensorflow.core.lib.core
import time:       716 |        716 |                   tensorflow.core.lib.core.error_codes_pb2
import time:      1149 |       2497 |                 tensorflow.python.framework.errors_impl
import time:       404 |       2901 |               tensorflow.python.framework.errors
import time:       455 |       3355 |             tensorflow.python.eager.core
import time:       404 |        404 |             tensorflow.python.eager.tape
import time:       882 |        882 |             tensorflow.python.framework.cpp_shape_inference_pb2
import time:      1995 |       1995 |             tensorflow.python.framework.dtypes
import time:       301 |        301 |               tensorflow.python.util.tf_stack
import time:      1350 |       1650 |             tensorflow.python.framework.error_interpolation
import time:       649 |        649 |             tensorflow.python.framework.op_def_registry
import time:       599 |        599 |             tensorflow.python.framework.registry
import time:      1036 |       1036 |             tensorflow.python.framework.tensor_shape
import time:       594 |        594 |             tensorflow.python.framework.traceable_stack
import time:       542 |        542 |             tensorflow.python.framework.versions
import time:       640 |        640 |             tensorflow.python.ops
import time:      1146 |       1146 |             tensorflow.python.ops.control_flow_util
import time:       365 |        365 |                   absl
import time:       372 |        372 |                   getopt
import time:       534 |        534 |                       _csv
import time:       948 |       1482 |                     csv
import time:       823 |        823 |                       fcntl
import time:      1239 |       1239 |                       termios
import time:      2376 |       4437 |                     absl.flags._helpers
import time:      1316 |       7234 |                   absl.flags._argument_parser
import time:       446 |        446 |                     absl.flags._exceptions
import time:       730 |        730 |                     absl.flags._flag
import time:       368 |        368 |                         xml.dom.domreg
import time:       662 |       1030 |                       xml.dom
import time:       432 |        432 |                         xml.dom.minicompat
import time:       352 |        352 |                           xml.dom.NodeFilter
import time:      2107 |       2459 |                         xml.dom.xmlbuilder
import time:      1625 |       4515 |                       xml.dom.minidom
import time:       903 |       6447 |                     absl.flags._flagvalues
import time:       600 |        600 |                     absl.flags._validators
import time:       859 |       9079 |                   absl.flags._defines
import time:       950 |      17997 |                 absl.flags
import time:       967 |      18964 |               tensorflow.python.platform.flags
import time:       602 |      19565 |             tensorflow.python.platform.app
import time:       317 |        317 |             tensorflow.python.util.function_utils
import time:       334 |        334 |             tensorflow.python.util.lock_util
import time:       259 |        259 |             tensorflow.python.util.memory
import time:      5239 |      43069 |           tensorflow.python.framework.ops
import time:       101 |        101 |                 tensorflow.python.framework.numpy
import time:        75 |         75 |                     tensorflow.python.framework.tensorflow
import time:        37 |        112 |                   tensorflow.python.framework.tensorflow.python
import time:        39 |        150 |                 tensorflow.python.framework.tensorflow.python.util
import time:       610 |        860 |               tensorflow.python.framework.fast_tensor_util
import time:       664 |       1524 |             tensorflow.python.framework.tensor_util
import time:       898 |       2421 |           tensorflow.python.framework.sparse_tensor
import time:       631 |        631 |           tensorflow.python.framework.random_seed
import time:       427 |        427 |               tensorflow.python.framework.graph_to_function_def
import time:       562 |        562 |                 tensorflow.python.framework.common_shapes
import time:       373 |        373 |                             google.protobuf.internal.wire_format
import time:       499 |        871 |                           google.protobuf.internal.encoder
import time:       518 |       1389 |                         google.protobuf.internal.decoder
import time:       568 |       1956 |                       google.protobuf.internal.type_checkers
import time:      2264 |       4220 |                     google.protobuf.text_format
import time:       377 |       4596 |                   tensorflow.python.eager.execute
import time:       507 |       5103 |                 tensorflow.python.framework.constant_op
import time:       785 |        785 |                   tensorflow.python.framework.op_def_library
import time:      6226 |       7010 |                 tensorflow.python.ops.gen_array_ops
import time:      6690 |       6690 |                 tensorflow.python.ops.gen_math_ops
import time:       613 |        613 |                 tensorflow.python.util.nest
import time:      9347 |      29322 |               tensorflow.python.ops.array_ops
import time:       635 |        635 |                 tensorflow.core.framework.variable_pb2
import time:      2929 |       2929 |                 tensorflow.python.ops.gen_resource_variable_ops
import time:      1320 |       1320 |                 tensorflow.python.ops.gen_state_ops
import time:       410 |        410 |                     tensorflow.python.framework.graph_util_impl
import time:       317 |        727 |                   tensorflow.python.framework.graph_util
import time:      5590 |       5590 |                   tensorflow.python.ops.gen_data_flow_ops
import time:      7944 |       7944 |                   tensorflow.python.ops.gen_nn_ops
import time:      3473 |       3473 |                   tensorflow.python.ops.gen_sparse_ops
import time:       894 |        894 |                   tensorflow.python.ops.gen_spectral_ops
import time:      6606 |      25232 |                 tensorflow.python.ops.math_ops
import time:       912 |        912 |                     tensorflow.core.protobuf.control_flow_pb2
import time:      1820 |       1820 |                       tensorflow.python.ops.gen_functional_ops
import time:      3572 |       5391 |                     tensorflow.python.ops.cond_v2_impl
import time:      1399 |       1399 |                     tensorflow.python.ops.gen_control_flow_ops
import time:      1681 |       1681 |                     tensorflow.python.ops.gen_logging_ops
import time:       569 |        569 |                       tensorflow.python.util.tf_should_use
import time:      1906 |       2474 |                     tensorflow.python.ops.tensor_array_ops
import time:      3425 |      15280 |                   tensorflow.python.ops.control_flow_ops
import time:       507 |        507 |                   tensorflow.python.ops.state_ops
import time:       290 |        290 |                     tensorflow.python.training
import time:       521 |        810 |                   tensorflow.python.training.checkpointable
import time:       776 |        776 |                           _json
import time:      1377 |       2152 |                         json.scanner
import time:      1062 |       3214 |                       json.decoder
import time:       915 |        915 |                       json.encoder
import time:       554 |       4683 |                     json
import time:      1911 |       1911 |                     tensorflow.python.ops.gen_io_ops
import time:       390 |        390 |                     tensorflow.python.training.saveable_object
import time:       291 |        291 |                     tensorflow.python.util.serialization
import time:      1993 |       9267 |                   tensorflow.python.training.checkpointable.base
import time:      3446 |      29308 |                 tensorflow.python.ops.variables
import time:      4488 |      63910 |               tensorflow.python.ops.resource_variable_ops
import time:     14634 |      14634 |                   tensorflow.python.ops.gen_linalg_ops
import time:       439 |        439 |                   tensorflow.python.ops.linalg_ops_impl
import time:       991 |        991 |                     tensorflow.python.ops.gen_random_ops
